"","id","attr","weak_membership","in_largest_weak","strong_membership","in_largest_strong","total_degree","weighted_degree","closeness","binarized_betweenness","betweenness","bonpow","bonpow_negative","eigen_centrality","component","burt_constraint","burt_hierarchy","effective_size","reachability","in_largest_bicomponent","health_weak_membership","health_in_largest_weak","health_strong_membership","health_in_largest_strong","health_total_degree","health_weighted_degree","health_closeness","health_binarized_betweenness","health_betweenness","health_bonpow","health_bonpow_negative","health_eigen_centrality","health_component","health_burt_constraint","health_burt_hierarchy","health_effective_size","health_reachability","health_in_largest_bicomponent","social_weak_membership","social_in_largest_weak","social_strong_membership","social_in_largest_strong","social_total_degree","social_weighted_degree","social_closeness","social_binarized_betweenness","social_betweenness","social_bonpow","social_bonpow_negative","social_eigen_centrality","social_component","social_burt_constraint","social_burt_hierarchy","social_effective_size","social_reachability","social_in_largest_bicomponent","social_bicomponent_id"
"1",0,"1020720001001",1,TRUE,1,TRUE,7,7,21.3739579048403,84.75,84.75,0.998657405058678,1.17599856990629,3.58421855570555e-10,1,0.465104560342656,0.446624520885143,4.71428571428571,0.909090909090909,NA,1,TRUE,1,TRUE,2,2,11.3854256854257,106,106,0.408321636216589,0.658981872294069,0.0146719370495917,1,0.5,0,2,0.363636363636364,NA,1,TRUE,1,TRUE,5,5,13.5080732992498,15.8,15.8,2.01559005237425,1.45592469033899,4.67918282357354e-06,1,0.501911111111111,0.383179096364996,3.4,0.428571428571429,NA,NA
"2",1,"1020720002001",1,TRUE,1,TRUE,5,5,19.7903122977813,39.75,39.75,0.667482996939815,0.883155777794372,1.27017030509584e-10,1,0.52,0.616486125397139,5,0.909090909090909,NA,1,TRUE,1,TRUE,2,2,9.83098568098568,54,54,0.339798368460936,0.766896009328847,0.00358714980715736,1,0.5,0,2,0.363636363636364,NA,1,TRUE,1,TRUE,3,3,12.7389146800912,24,24,1.18575861344475,0.83576010339659,3.06037509165522e-06,1,0.555555555555556,0.544514084996405,3,0.428571428571429,NA,NA
"3",2,"1020720004001",1,TRUE,1,TRUE,4,4,22.3861124169948,4465.25,4465.25,0.86192402404796,1.00784916142837,2.70405250316787e-10,1,0.741829473558971,0.349258234875842,-0.666666666666667,0.909090909090909,NA,13,FALSE,13,FALSE,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0.00649350649350649,NA,1,TRUE,1,TRUE,4,4,14.4639146800912,744,744,2.10694117378738,1.28969533733346,5.0936279688512e-06,1,0.673511111111111,0.23470336136277,1.6,0.428571428571429,NA,NA
"4",3,"1020720005001",1,TRUE,1,TRUE,4,4,21.5294612207538,4524.25,4524.25,0.47447347344533,0.77784247385901,5.66957255355381e-11,1,0.423611111111111,0.318620061258754,3.5,0.909090909090909,NA,1,TRUE,1,TRUE,1,1,8.13423243423243,0,0,0.176635996273978,0.34579011993804,0.000830063433001904,1,1,1,1,0.363636363636364,NA,1,TRUE,1,TRUE,3,3,14.4074286824287,846.2,846.2,0.9828764688922,1.02398077556794,3.61257623660951e-06,1,0.382222222222222,0.0143655052906032,2.66666666666667,0.428571428571429,NA,NA
"5",4,"1020720006001",1,TRUE,1,TRUE,4,4,22.3750328446923,4675,4675,0.472998004246663,0.636219956752729,6.990585068035e-13,1,0.375,0.374185416306089,4,0.909090909090909,NA,12,FALSE,12,FALSE,1,1,1,0,0,0.149550732210133,0.398270734683794,0.707106781186547,2,1,1,1,0.012987012987013,NA,1,TRUE,1,TRUE,3,3,16.2087162837163,1100,1100,0.843276926757187,0.722497197993705,2.6722826291773e-05,1,0.333333333333333,0,3,0.428571428571429,NA,NA
"6",5,"1020720007001",1,TRUE,1,TRUE,2,2,21.0316551826227,4488,4488,0.216463201843534,0.402903811840275,6.1330892794176e-12,1,0.5,0,2,0.909090909090909,NA,14,FALSE,14,FALSE,0,0,0,0,0,NA,NA,NA,NA,1,NA,0,0.00649350649350649,NA,1,TRUE,1,TRUE,2,2,14.4713647463647,874,874,0.531844230148851,0.706823422772739,7.15736074732397e-06,1,0.5,0,2,0.428571428571429,NA,NA
"7",6,"1020720008001",1,TRUE,1,TRUE,3,3,15.9789691475672,138,138,0.402406048363666,0.794887535000636,2.94213188459637e-17,1,1.0696875,0.337967457787444,1.25,0.909090909090909,NA,8,FALSE,8,FALSE,1,1,1.5,0,0,0.171741604298657,0.339173899787979,0.5,3,1,1,1,0.0194805194805195,NA,5,FALSE,5,FALSE,2,2,3,3,3,0.576774571841996,1.09896718008538,0.324084871380684,2,1.18518518518519,0.210309917857152,1.33333333333333,0.0324675324675325,NA,NA
"8",7,"1020720009001",1,TRUE,1,TRUE,3,3,15.8123024809005,0,0,0.299191211563513,0.599164297233809,1.83297929785831e-18,1,0.84641975308642,0.402843444843848,1.66666666666667,0.909090909090909,NA,15,FALSE,15,FALSE,0,0,0,0,0,NA,NA,NA,NA,1,NA,0,0.00649350649350649,NA,5,FALSE,5,FALSE,3,3,2.83333333333333,0,0,0.672090388370805,0.999253545362881,0.561952207212263,2,0.91358024691358,0.417819272990212,1.66666666666667,0.0324675324675325,NA,NA
"9",8,"1020720010001",1,TRUE,1,TRUE,3,3,15.8123024809005,0,0,0.299191211563513,0.599164297233809,6.01880436495224e-17,1,0.84641975308642,0.402843444843848,1.66666666666667,0.909090909090909,NA,16,FALSE,16,FALSE,0,0,0,0,0,NA,NA,NA,NA,1,NA,0,0.00649350649350649,NA,5,FALSE,5,FALSE,3,3,2.83333333333333,0,0,0.672090388370805,0.999253545362881,0.561952207212263,2,0.91358024691358,0.417819272990212,1.66666666666667,0.0324675324675325,NA,NA
"10",9,"1020720011001",1,TRUE,1,TRUE,2,2,17.8749095824234,0,0,0.214057934559807,0.372649776071348,1.88263236922635e-16,1,0.750625,0.00120107807386441,1,0.909090909090909,NA,17,FALSE,17,FALSE,0,0,0,0,0,NA,NA,NA,NA,1,NA,0,0.00649350649350649,NA,1,TRUE,1,TRUE,2,2,12.3743617493617,0,0,0.622467877802986,0.567868910698684,7.41166911915361e-05,1,0.78125,0,1,0.428571428571429,TRUE,"30"
